,Symbol,Company,Price,Change%1D,Change1D,Volume1D,Volume*Price1D,MarketCap,MarketCapPerformance%1Y,PriceEarningRatio,EarningPerShare(TTM),Employees(FY),Sector
48,ACIU,AC Immune SA,3.03,-2.57%,-0.08,49628.0,150373.0,253370000.0,-6.81%,N/A,-0.89,N/A,Health Technology
49,ACIW,"ACI Worldwide, Inc.",23.65,-0.42%,-0.10,566976.0,13409000.0,2568000000.0,-12.55%,36.28,0.65,3349.0,Technology Services
50,ACLS,"Axcelis Technologies, Inc.",171.91,-3.06%,-5.42,706513.0,121457000.0,5642000000.0,157.85%,27.71,6.29,1388.0,Producer Manufacturing
51,ACLX,"Arcellx, Inc.",34.56,-0.72%,-0.25,202046.0,6983000.0,1659000000.0,99.76%,N/A,-4.29,N/A,Health Technology
52,ACM,AECOM,85.57,0.20%,0.17,582969.0,49885000.0,11894000000.0,15.48%,90.30,0.97,50000.0,Industrial Services
53,ACMR,"ACM Research, Inc.",13.24,-2.65%,-0.36,651936.0,8632000.0,792738000.0,-25.44%,12.97,1.12,1209.0,Producer Manufacturing
54,ACN,Accenture plc,311.53,-1.15%,-3.62,1505000.0,468707000.0,206953000000.0,6.84%,27.76,11.35,721000.0,Technology Services
55,ACNB,ACNB Corporation,34.25,-0.75%,-0.26,18109.0,620233.0,293327000.0,-0.77%,7.48,4.58,N/A,Finance
56,ACNT,Ascent Industries Co.,9.46,-1.56%,-0.15,31502.0,298009.0,96236000.0,-28.11%,15.28,0.64,N/A,Non-Energy Minerals
57,ACON,"Aclarion, Inc.",0.5849,-0.02%,-0.0001,7503.0,4389.0,4797000.0,-43.73%,N/A,-0.95,N/A,Technology Services
58,ACOR,"Acorda Therapeutics, Inc.",16.70,1.21%,0.20,7680.0,128256.0,20322000.0,84.07%,N/A,-17.05,N/A,Health Technology
59,ACRO,Acropolis Infrastructure Acquisition Corp.,10.16,0.10%,0.01,N/A,2946.0,438150000.0,4.32%,92.96,0.11,N/A,Finance
60,ACRS,"Aclaris Therapeutics, Inc.",8.48,-2.08%,-0.18,559466.0,4744000.0,600339000.0,-47.90%,N/A,-1.55,N/A,Health Technology
61,ACRV,"Acrivon Therapeutics, Inc.",11.92,0.51%,0.06,48329.0,576082.0,261358000.0,N/A,N/A,,N/A,Health Technology
62,ACRX,"AcelRx Pharmaceuticals, Inc.",0.9499,-0.01%,-0.0001,43774.0,41581.0,15521000.0,-54.19%,0.14,6.91,N/A,Health Technology
63,ACST,"Acasti Pharma, Inc.",2.43,0.83%,0.02,14817.0,36005.0,18068000.0,-53.29%,N/A,-0.95,N/A,Health Technology
64,ACT,"Enact Holdings, Inc.",29.35,-0.41%,-0.12,171189.0,5024000.0,4696000000.0,11.19%,7.05,4.18,N/A,Finance
65,ACTG,Acacia Research Corporation,3.78,-2.58%,-0.10,144403.0,545843.0,377570000.0,108.61%,N/A,-0.19,N/A,Commercial Services
66,ACU,Acme,35.45,6.74%,2.24,39044.0,1384000.0,125696000.0,22.25%,32.58,1.10,N/A,Distribution Services
67,ACVA,ACV Auctions Inc.,16.65,0.00%,0.00,2017999.9999999998,33600000.0,2662000000.0,142.17%,N/A,-0.52,2000.0,Retail Trade
